元科目名,科目コード,B/S・P/L,正規化カテゴリ,ダッシュボード表示カテゴリ,自動判定可否,要確認事項
[売上高],,PL,revenue_section,非表示,Yes,section header
技術売上高,,PL,technical_revenue,技術売上,Yes,税抜source
商品売上高,,PL,retail_revenue,商品売上,Yes,MID独立科目なし
ECサイト商品売上高,,PL,ec_revenue,EC売上,Yes,店舗按分ruleは別管理
売上高合計,,PL,total_revenue,売上,Yes,税抜source
[売上原価],,PL,cost_of_sales_section,非表示,Yes,section header
期首商品棚卸高,,PL,opening_inventory,売上原価,No,同名行が2件ありaccount codeなし
材料仕入,,PL,material_purchases,材料費,Yes,材料費との正式定義確認
商品仕入,,PL,retail_purchases,商品原価,Yes,棚卸調整を別途考慮
当期商品仕入高,,PL,current_period_purchases,商品原価,Yes,summary候補
合計,,PL,cost_of_sales_intermediate_total,非表示,No,名称が一般的でsection context必須
期末商品棚卸高,,PL,closing_inventory,売上原価,No,同名行が2件ありaccount codeなし
売上原価,,PL,cost_of_sales,売上原価,Yes,直接取得
売上総損益金額,,PL,gross_profit,売上総利益,Yes,名称正規化
[販売管理費],,PL,sga_section,非表示,Yes,section header
役員報酬,,PL,executive_compensation,人件費候補,No,店舗人件費へ含めるか確認
給与手当,,PL,salaries,人件費,Yes,人件費集合の構成要素
賞与手当,,PL,bonuses,人件費,Yes,人件費集合の構成要素
退職金,,PL,retirement_benefits,人件費候補,No,人件費へ含めるか確認
法定福利費,,PL,statutory_benefits,人件費,Yes,人件費集合の構成要素
福利厚生費,,PL,employee_welfare,人件費候補,No,広義人件費へ含めるか確認
教育研修費,,PL,training_expense,主要販管費,Yes,表示粒度確認
旅費交通費,,PL,travel_transportation,主要販管費,Yes,表示粒度確認
通信費,,PL,communications,主要販管費,Yes,表示粒度確認
交際接待費,,PL,entertainment,主要販管費,Yes,表示粒度確認
減価償却費,,PL,depreciation,減価償却,Yes,店舗帰属確認
賃借料,,PL,rent_and_lease,家賃候補,No,店舗家賃と設備leaseを区別できない
保険料,,PL,insurance,主要販管費,Yes,表示粒度確認
修繕費,,PL,repairs,主要販管費,Yes,表示粒度確認
水道光熱費,,PL,utilities,水道光熱費,Yes,直接取得
消耗品費,,PL,supplies,主要販管費,Yes,材料費と混同しない
租税公課,,PL,taxes_and_dues,主要販管費,Yes,法人税等とは別
