store_code,canonical_store_uuid_mask,canonical_source,display_name,store_class,operator_name,effective_period_status,legacy_store_uuid_mask,legacy_source,mapping_status
tokorozawa,1285ac70...,public.stores.id,所沢店,DIRECT,IDEA NOV,HISTORY_MISSING,ccfe77c1...,core.stores.id,PROPOSED_CANONICAL_PENDING_OWNER_APPROVAL
takadanobaba,887da14c...,public.stores.id,高田馬場店,DIRECT,IDEA NOV,HISTORY_MISSING,,,PROPOSED_CANONICAL_PENDING_OWNER_APPROVAL
kamishakujii,1bcba30a...,public.stores.id,上石神井店,DIRECT,IDEA NOV,HISTORY_MISSING,,,PROPOSED_CANONICAL_PENDING_OWNER_APPROVAL
hoya,73ee82b5...,public.stores.id,保谷店,DIRECT,IDEA NOV,HISTORY_MISSING,,,PROPOSED_CANONICAL_PENDING_OWNER_APPROVAL
shakujiikoen,ad931406...,public.stores.id,石神井公園店,DIRECT,IDEA NOV,HISTORY_MISSING,,,PROPOSED_CANONICAL_PENDING_OWNER_APPROVAL
higashiyamato,e7bab6a5...,public.stores.id,東大和店,DIRECT,IDEA NOV,HISTORY_MISSING,,,PROPOSED_CANONICAL_PENDING_OWNER_APPROVAL
shimoigusa,fec1e181...,public.stores.id,下井草店,DIRECT,IDEA NOV,HISTORY_MISSING,,,PROPOSED_CANONICAL_PENDING_OWNER_APPROVAL
ekoda,4e5526cc...,public.stores.id,江古田店,DIRECT,IDEA NOV,HISTORY_MISSING,,,PROPOSED_CANONICAL_PENDING_OWNER_APPROVAL
annex,2980442d...,public.stores.id,ANNEX店,DIRECT,IDEA NOV,HISTORY_MISSING,,,PROPOSED_CANONICAL_PENDING_OWNER_APPROVAL
nogata,b898c63f...,public.stores.id,野方店,DIRECT,IDEA NOV,DIRECT_HISTORY_PENDING,,,PROPOSED_CANONICAL_PENDING_OWNER_APPROVAL
ikebukuro,36c222de...,public.stores.id,池袋店,DIRECT,IDEA NOV,HISTORY_MISSING,,,PROPOSED_CANONICAL_PENDING_OWNER_APPROVAL
kyarahalf,ac20934d...,public.stores.id,KYARA HALF店,DIRECT,IDEA NOV,HISTORY_MISSING,,,PROPOSED_CANONICAL_PENDING_OWNER_APPROVAL
tachikawa,5f66193f...,public.stores.id,立川店,DIRECT,IDEA NOV,DIRECT_FROM_2026_06_01_OWNER_BASELINE,,,PROPOSED_CANONICAL_PENDING_OWNER_APPROVAL
shintokorozawa,acc91785...,public.stores.id,新所沢店,FC,ALBERO,HISTORY_MISSING,,,PROPOSED_CANONICAL_PENDING_OWNER_APPROVAL
saginomiya,b5a206dc...,public.stores.id,鷺ノ宮店,FC,ALBERO,HISTORY_MISSING,,,PROPOSED_CANONICAL_PENDING_OWNER_APPROVAL
roane,62070a3c...,public.stores.id,Roane by Bassa,FC,ALBERO,HISTORY_MISSING,,,PROPOSED_CANONICAL_PENDING_OWNER_APPROVAL
kumegawa,3ba5e54d...,public.stores.id,久米川店,FC,UNO,HISTORY_MISSING,,,PROPOSED_CANONICAL_PENDING_OWNER_APPROVAL
kokubunnji,71551fcf...,public.stores.id,国分寺店,FC,BIOEL,HISTORY_MISSING,,,PROPOSED_CANONICAL_PENDING_OWNER_APPROVAL
hanakoganei,e7ecb022...,public.stores.id,花小金井店,FC,FILM,HISTORY_MISSING,,,PROPOSED_CANONICAL_PENDING_OWNER_APPROVAL
higashikurume,02d29285...,public.stores.id,東久留米店,FC,LUA,HISTORY_MISSING,,,PROPOSED_CANONICAL_PENDING_OWNER_APPROVAL
