"mapping_no","source_system","source_entity_code","source_entity_name","normalized_name","entity_type","legal_entity_candidate","business_domain_candidate","department_candidate","store_candidate","head_office_candidate","direct_or_fc","fc_company_candidate","accounting_entity_candidate","core_uuid","valid_from","valid_to","status","successor_entity","evidence","confidence","accounting_approval","core_master_approval","sales_approval","management_approval","final_status","unresolved_question","notes"
"EM-001","yayoi_excel","YAYOI-001","全体(合計)","全体(合計)","accounting_source_entity","TBD","コーポレート候補","TBD","not_required","not_required","unknown","not_required","全体(合計)","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#2; ../../../accounting/yayoi-excel-structure-audit.md","low","pending","pending","not_required","pending","blocked","弥生は正式法人名・Core候補はブランド表記でありUUID未取得","部分一致; 手動確認"
"EM-002","yayoi_excel","YAYOI-002","本部","本部","accounting_source_entity","TBD","コーポレート候補","TBD","not_required","本部候補","unknown","not_required","本部","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#3; ../../../accounting/yayoi-excel-structure-audit.md","low","pending","pending","not_required","pending","blocked","Core department単体へ割り当てない","不一致; Accounting集計node"
"EM-003","yayoi_excel","YAYOI-003","本部･営業","本部･営業","department","TBD","美容室事業","営業部","not_required","本部候補","unknown","not_required","本部･営業","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#4; ../../../accounting/yayoi-excel-structure-audit.md","high","pending","pending","not_required","pending","proposed","会計部門とCore部門の有効期間確認","部分一致; 手動確認"
"EM-004","yayoi_excel","YAYOI-004","本部･教育(合計)","本部･教育(合計)","accounting_source_entity","TBD","TBD","TBD","not_required","本部候補","unknown","not_required","本部･教育(合計)","TBD","2024-09-01","TBD","active","教育･アカデミー / 本部･教育(共通) 候補","../../../accounting/yayoi-entity-mapping.csv#5; ../../../accounting/yayoi-excel-structure-audit.md","low","pending","pending","not_required","pending","blocked","教育部内訳のrollup","不一致; Accounting集計node"
"EM-005","yayoi_excel","YAYOI-005","教育･アカデミー","教育･アカデミー","department","TBD","TBD","教育部候補","not_required","本部候補","unknown","not_required","教育･アカデミー","TBD","2024-09-01","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#6; ../../../accounting/yayoi-excel-structure-audit.md","medium","pending","pending","not_required","pending","under_review","Coreにsubdepartmentがあるか未確認","部分一致; 手動確認"
"EM-006","yayoi_excel","YAYOI-006","本部･教育(共通)","本部･教育(共通)","accounting_source_entity","TBD","TBD","TBD","not_required","本部候補","unknown","not_required","本部･教育(共通)","TBD","2024-09-01","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#7; ../../../accounting/yayoi-excel-structure-audit.md","low","pending","pending","not_required","pending","blocked","共通費を教育部へ含めるか確認","部分一致; 手動確認"
"EM-007","yayoi_excel","YAYOI-007","本部･総務","本部･総務","department","TBD","コーポレート候補","総務人事部","not_required","本部候補","unknown","not_required","本部･総務","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#8; ../../../accounting/yayoi-excel-structure-audit.md","high","pending","pending","not_required","pending","proposed","総務と人事を会計上分離していない可能性","部分一致; 手動確認"
"EM-008","yayoi_excel","YAYOI-008","本部･経理","本部･経理","department","TBD","コーポレート候補","経理部","not_required","本部候補","unknown","not_required","本部･経理","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#9; ../../../accounting/yayoi-excel-structure-audit.md","high","pending","pending","not_required","pending","proposed","UUID未取得","部分一致; 手動確認"
"EM-009","yayoi_excel","YAYOI-009","KYARA HALF","KYARA HALF店","store","TBD","美容室事業","営業部候補","KYARA HALF店","not_required","Direct","not_required","KYARA HALF","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#10; ../../../accounting/yayoi-excel-structure-audit.md","high","pending","pending","pending","pending","proposed","法人帰属・直営FC区分・営業期間未確認","名称候補一致; 手動確認"
"EM-010","yayoi_excel","YAYOI-010","BASSA新所沢店","新所沢店","store","TBD","美容室事業","TBD","新所沢店","not_required","unknown","not_required","BASSA新所沢店","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#11; ../../../accounting/yayoi-excel-structure-audit.md","medium","pending","pending","pending","pending","under_review","FC新所沢との同一店舗・移管関係を確認","名称候補一致; 手動確認; FC新所沢との同一店舗・移管関係を確認"
"EM-011","yayoi_excel","YAYOI-011","BASSA所沢店","所沢店","store","TBD","美容室事業","営業部候補","所沢店","not_required","Direct","not_required","BASSA所沢店","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#12; ../../../accounting/yayoi-excel-structure-audit.md","high","pending","pending","pending","pending","proposed","Core実値と法人帰属を未取得","名称候補一致; 手動確認"
"EM-012","yayoi_excel","YAYOI-012","BASSA久米川店","久米川店","store","TBD","美容室事業","TBD","久米川店","not_required","unknown","not_required","BASSA久米川店","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#13; ../../../accounting/yayoi-excel-structure-audit.md","medium","pending","pending","pending","pending","under_review","FC久米川との同一店舗・移管関係を確認","名称候補一致; 手動確認; FC久米川との同一店舗・移管関係を確認"
