record_no,entity_type,approved_official_name,google_source_name,core_name,core_uuid,core_store_code,approved_direct_or_fc,core_direct_or_fc,approved_operating_entity,core_operating_entity,google_open_date,core_open_date,effective_from,effective_to,match_status,severity,blocking_flag,human_question,recommended_action,evidence_source
MV-001,store,所沢店,BASSA所沢店,TBD,TBD,TBD,Direct,TBD,株式会社イディア・ノブ,TBD,1993-11-01,TBD,TBD,TBD,unknown,high,true,HQ-001,Core stores/corporationsのread-only exportでUUID・コード・現行法人を確認する,Google店舗マスター; Entity Approval Board; docs/core-employee-ledger-v1-review.md
MV-002,store,高田馬場店,BASSA高田馬場店,TBD,TBD,TBD,Direct,TBD,株式会社イディア・ノブ,TBD,2005-05-01,TBD,TBD,TBD,unknown,high,true,HQ-001,Core read-only export取得後に名称とopen_dateを照合する,Google店舗マスター; Entity Approval Board
MV-003,store,上石神井店,BASSA上石神井店,TBD,TBD,TBD,Direct,TBD,株式会社イディア・ノブ,TBD,2008-08-01,TBD,TBD,TBD,unknown,high,true,HQ-001,Core read-only export取得後に名称とopen_dateを照合する,Google店舗マスター; Entity Approval Board
MV-004,store,保谷店,BASSA保谷店,TBD,TBD,TBD,Direct,TBD,株式会社イディア・ノブ,TBD,2012-12-01,TBD,TBD,TBD,unknown,high,true,HQ-001,Core read-only export取得後に名称とopen_dateを照合する,Google店舗マスター; Entity Approval Board
MV-005,store,石神井公園店,BASSA石神井公園店,TBD,TBD,TBD,Direct,TBD,株式会社イディア・ノブ,TBD,2017-03-01,TBD,TBD,TBD,unknown,high,true,HQ-001,Core read-only export取得後に名称とopen_dateを照合する,Google店舗マスター; Entity Approval Board
MV-006,store,東大和店,BASSA東大和店,TBD,TBD,TBD,Direct,TBD,株式会社イディア・ノブ,TBD,2013-06,TBD,TBD,TBD,unknown,high,true,HQ-002,月までしかないopen_dateの精度を確認する,Google店舗マスター; Entity Approval Board
MV-007,store,下井草店,BASSA下井草店,TBD,TBD,TBD,Direct,TBD,株式会社イディア・ノブ,TBD,2015-11-01,TBD,TBD,TBD,unknown,high,true,HQ-001,Core read-only export取得後に名称とopen_dateを照合する,Google店舗マスター; Entity Approval Board
MV-008,store,江古田店,BASSA江古田店,TBD,TBD,TBD,Direct,TBD,株式会社イディア・ノブ,TBD,2018-08-01,TBD,TBD,TBD,unknown,high,true,HQ-001,Core read-only export取得後に名称とopen_dateを照合する,Google店舗マスター; Entity Approval Board
MV-009,store,ANNEX店,BASSAANNEX店,TBD,TBD,TBD,Direct,TBD,株式会社イディア・ノブ,TBD,2021-07-01,TBD,TBD,TBD,unknown,high,true,HQ-003,ANNEX店をofficial_nameとしBASSAANNEX店等をaliasにする承認を確認する,Google店舗マスター; Entity Approval Board
MV-010,store,野方店,BASSA野方店,TBD,TBD,TBD,Direct,TBD,株式会社イディア・ノブ,TBD,2023-05-01,TBD,2024-03-01,TBD,unknown,high,true,HQ-004,ALBEROからIDEA NOVへの直営化履歴をCoreで保持できるか確認する,Google店舗マスター; Google店舗運営会社ログ; Entity Approval Board
MV-011,store,池袋店,BASSA池袋店,TBD,TBD,TBD,Direct,TBD,株式会社イディア・ノブ,TBD,2022-12-01,TBD,TBD,TBD,unknown,high,true,HQ-001,Core read-only export取得後に名称とopen_dateを照合する,Google店舗マスター; Entity Approval Board
MV-012,store,KYARA HALF店,KYARA HALF池袋,TBD,TBD,TBD,Direct,TBD,株式会社イディア・ノブ,TBD,2024-02-01,TBD,TBD,TBD,unknown,high,true,HQ-005,KYARA HALF池袋をdisplay_name/location aliasとして扱うか確認する,Google店舗マスター; Entity Approval Board
MV-013,store,立川店,BASSA立川店,TBD,TBD,TBD,Direct,TBD,株式会社イディア・ノブ,TBD,2025-03-01,TBD,2026-06-01,TBD,unknown,high,true,HQ-006,BIOEL期間終了日とIDEA NOV開始日の月次境界をCore履歴と照合する,Google店舗マスター; Google店舗運営会社ログ; Entity Approval Board
MV-014,store,新所沢店,BASSA新所沢店,TBD,TBD,TBD,FC,TBD,ALBERO,TBD,1985-06-01,TBD,2017-07-01,TBD,unknown,high,true,HQ-007,直営期とFC期を同一store entityの履歴として保持するか確認する,Google店舗マスター; Google店舗運営会社ログ; Entity Approval Board
MV-015,store,鷺ノ宮店,BASSA鷺ノ宮店,TBD,TBD,TBD,FC,TBD,ALBERO,TBD,2021-06-01,TBD,2021-06-01,TBD,unknown,high,true,HQ-008,Googleの新規開店日をeffective_fromとして採用可能かCoreと照合する,Google店舗マスター; Google店舗運営会社ログ; Entity Approval Board
MV-016,store,Roane by Bassa,Roane by BASSA店,TBD,TBD,TBD,FC,TBD,ALBERO,TBD,2026-04-01,TBD,2026-04-01,TBD,unknown,high,true,HQ-009,official_nameのBassa表記と検索aliasを確認する,Google店舗マスター; Google店舗運営会社ログ; Entity Approval Board
MV-017,store,久米川店,BASSA久米川店,TBD,TBD,TBD,FC,TBD,UNO,TBD,197703/12,TBD,2021-10-01,TBD,unknown,critical,true,HQ-010,197703/12が入力誤りか1977-03-12か確認する,Google店舗マスター; Google店舗運営会社ログ; Entity Approval Board
MV-018,store,国分寺店,BASSA国分寺店,TBD,TBD,TBD,FC,TBD,BIOEL,TBD,2001-03-01,TBD,2018-11-01,TBD,unknown,high,true,HQ-007,直営期とFC期を同一store entityの履歴として保持するか確認する,Google店舗マスター; Google店舗運営会社ログ; Entity Approval Board
MV-019,store,花小金井店,BASSA花小金井店,TBD,TBD,TBD,FC,TBD,FILM,TBD,2020-06-01,TBD,2023-12-01,TBD,unknown,high,true,HQ-007,直営期とFC期を同一store entityの履歴として保持するか確認する,Google店舗マスター; Google店舗運営会社ログ; Entity Approval Board
MV-020,store,東久留米店,BASSA東久留米店,TBD,TBD,TBD,FC,TBD,LUA,TBD,2017-11-01,TBD,2024-11-01,TBD,unknown,high,true,HQ-007,直営期とFC期を同一store entityの履歴として保持するか確認する,Google店舗マスター; Google店舗運営会社ログ; Entity Approval Board
